bin_id,capacity
A001,100
A002,100
A003,100
A004,100
A005,100
A006,100
A007,100
A008,100
A009,100
A010,100
A101,100
A102,100
A103,100
A104,100
A105,100
A106,100
A107,100
A108,100
A109,100
A110,100
A111,100
A112,100
A113,100
A114,100
A115,100
A116,100
A117,100
A118,100
A119,100
A120,100
A121,100
A122,100
A123,100
A124,100
A125,100
A126,100
A127,100
A128,100
A129,100
A130,100
A131,100
A132,100
A133,100
A134,100
A135,100
A136,100
A137,100
A138,100
A139,100
A140,100
A141,100
A142,100
A143,100
A144,100
A145,100
A146,100
A147,100
A148,100
A149,100
A150,100
A151,100
A152,100
A153,100
A154,100
A155,100
A156,100
A157,100
A158,100
A159,100
A160,100
A161,100
A162,100
A163,100
A164,100
A165,100
A166,100
A167,100
A168,100
A169,100
A170,100
A171,100
A172,100
A173,100
A174,100
A175,100
A176,100
A177,100
A178,100
A179,100
A180,100
A181,100
A182,100
A183,100
A184,100
A185,100
A186,100
A187,100
A188,100
A189,100
A190,100
A191,100
A192,100
A193,100
A194,100
A195,100
A196,100
A197,100
A198,100
A199,100
A200,100
B101,100
B102,100
B103,100
B104,100
B105,100
B106,100
B107,100
B108,100
B109,100
B110,100
B111,100
B112,100
B113,100
B114,100
B115,100
B116,100
B117,100
B118,100
B119,100
B120,100
B121,100
B122,100
B123,100
B124,100
B125,100
B126,100
B127,100
B128,100
B129,100
B130,100
B131,100
B132,100
B133,100
B134,100
B135,100
B136,100
B137,100
B138,100
B139,100
B140,100
B141,100
B142,100
B143,100
B144,100
B145,100
B146,100
B147,100
B148,100
B149,100
B150,100
B151,100
B152,100
B153,100
B154,100
B155,100
B156,100
B157,100
B158,100
B159,100
B160,100
B161,100
B162,100
B163,100
B164,100
B165,100
B166,100
B167,100
B168,100
B169,100
B170,100
B171,100
B172,100
B173,100
B174,100
B175,100
B176,100
B177,100
B178,100
B179,100
B180,100
B181,100
B182,100
B183,100
B184,100
B185,100
B186,100
B187,100
B188,100
B189,100
B190,100
B191,100
B192,100
B193,100
B194,100
B195,100
B196,100
B197,100
B198,100
B199,100
B200,100
B2BSALE,100
C-1,100
C101,100
C102,100
C103,100
C104,100
C105,100
C106,100
C107,100
C108,100
C109,100
C110,100
C111,100
C112,100
C113,100
C114,100
C115,100
C116,100
C117,100
C118,100
C119,100
C120,100
C121,100
C122,100
C123,100
C124,100
C125,100
C126,100
C127,100
C128,100
C129,100
C130,100
C131,100
D-1,100
D101,100
D102,100
D103,100
D104,100
D105,100
D106,100
D107,100
D108,100
D109,100
D110,100
D111,100
D112,100
D113,100
D114,100
D115,100
D116,100
D117,100
D118,100
D119,100
D120,100
D121,100
D122,100
D123,100
D124,100
D125,100
D126,100
D127,100
D128,100
D129,100
D130,100
D131,100
D132,100
D133,100
D134,100
D135,100
D136,100
D137,100
D138,100
D139,100
DEFAULT,100
E-1,100
E101,100
E102,100
E103,100
E104,100
E105,100
E106,100
E107,100
E108,100
E109,100
E110,100
E111,100
E112,100
E113,100
E114,100
E115,100
E116,100
E117,100
E118,100
E119,100
E120,100
E121,100
E122,100
E123,100
E124,100
E125,100
E126,100
E127,100
E128,100
E129,100
E130,100
F-1,100
F101,100
F102,100
F103,100
F104,100
F105,100
F106,100
F107,100
F108,100
F109,100
F110,100
F111,100
F112,100
F113,100
F114,100
F115,100
F116,100
F117,100
F118,100
F119,100
F120,100
F121,100
F122,100
F123,100
F124,100
F125,100
F126,100
F127,100
F128,100
F129,100
F130,100
FLEX,100
G-1,100
G101,100
G102,100
G103,100
G104,100
G105,100
G106,100
G107,100
G108,100
G109,100
G110,100
G111,100
G112,100
G113,100
G114,100
G115,100
G116,100
G117,100
G118,100
G119,100
G120,100
G121,100
G122,100
G123,100
G124,100
G125,100
G126,100
G127,100
G128,100
G129,100
G130,100
G131,100
G132,100
G133,100
G134,100
G135,100
G136,100
G137,100
G138,100
G139,100
G140,100
G141,100
G142,100
G143,100
G144,100
G145,100
G146,100
G147,100
G148,100
G149,100
G150,100
G151,100
G152,100
G153,100
G154,100
G155,100
G156,100
G157,100
G158,100
G159,100
G160,100
G161,100
G162,100
G163,100
G164,100
G165,100
G166,100
G167,100
G168,100
G169,100
G170,100
G171,100
G172,100
G173,100
G174,100
G175,100
G176,100
G177,100
G178,100
G179,100
G180,100
G181,100
G182,100
G183,100
G184,100
G185,100
G186,100
G187,100
G188,100
G189,100
G190,100
G191,100
G192,100
G193,100
G194,100
G195,100
G196,100
G197,100
G198,100
G199,100
G200,100
G201,100
G202,100
G203,100
G204,100
G205,100
G206,100
G207,100
G208,100
G209,100
G210,100
G211,100
G212,100
G213,100
G214,100
G215,100
G216,100
G217,100
G218,100
G219,100
G220,100
G221,100
G222,100
G223,100
G224,100
G225,100
G226,100
G227,100
G228,100
G229,100
G230,100
G231,100
G232,100
G233,100
G234,100
G235,100
G236,100
G237,100
G238,100
G239,100
G240,100
G241,100
G242,100
G243,100
G244,100
G245,100
G246,100
G247,100
G248,100
G249,100
G250,100
G251,100
G252,100
G253,100
G254,100
G255,100
G256,100
G257,100
G258,100
G259,100
G260,100
godown,100
H-1,100
H101,100
H102,100
H103,100
H104,100
H105,100
H106,100
H107,100
H108,100
H109,100
H110,100
H111,100
H112,100
H113,100
H114,100
H115,100
H116,100
H117,100
H118,100
H119,100
H120,100
H121,100
H122,100
H123,100
H124,100
H125,100
H126,100
H127,100
H128,100
H129,100
H130,100
H131,100
H132,100
H133,100
H134,100
H135,100
H136,100
H137,100
H138,100
H139,100
H140,100
H141,100
H142,100
H143,100
H144,100
H145,100
H146,100
H147,100
H148,100
H149,100
H150,100
H151,100
H152,100
H153,100
H154,100
H155,100
H156,100
H157,100
H158,100
H159,100
H160,100
H161,100
H162,100
H163,100
H164,100
H165,100
H166,100
H167,100
H168,100
H169,100
H170,100
H171,100
H172,100
H173,100
H174,100
H175,100
H176,100
H177,100
H178,100
H179,100
H180,100
H181,100
H182,100
H183,100
H184,100
H185,100
H186,100
H187,100
H188,100
H189,100
H190,100
H191,100
H192,100
H193,100
H194,100
H195,100
H196,100
H197,100
H198,100
H199,100
H200,100
H201,100
H202,100
H203,100
H204,100
H205,100
H206,100
H207,100
H208,100
H209,100
H210,100
H211,100
H212,100
H213,100
H214,100
H215,100
H216,100
H217,100
H218,100
H219,100
H220,100
H221,100
H222,100
H223,100
H224,100
H225,100
H226,100
H227,100
H228,100
H229,100
H230,100
H231,100
H232,100
H233,100
H234,100
H235,100
H236,100
H237,100
H238,100
H239,100
H240,100
H241,100
H242,100
H243,100
H244,100
H245,100
H246,100
H247,100
H248,100
H249,100
H250,100
H251,100
H252,100
H253,100
H254,100
H255,100
H256,100
H257,100
H258,100
H259,100
H260,100
I-1,100
I101,100
I102,100
I103,100
I104,100
I105,100
I106,100
I107,100
I108,100
I109,100
I110,100
I111,100
I112,100
I113,100
I114,100
I115,100
I116,100
I117,100
I118,100
I119,100
I120,100
I121,100
I122,100
I123,100
I124,100
I125,100
I126,100
I127,100
I128,100
I129,100
I130,100
I131,100
I132,100
I133,100
I134,100
I135,100
I136,100
I137,100
I138,100
I139,100
I140,100
I141,100
I142,100
I143,100
I144,100
I145,100
I146,100
I147,100
I148,100
I149,100
I150,100
I151,100
I152,100
I153,100
I154,100
I155,100
I156,100
I157,100
I158,100
I159,100
I160,100
I161,100
I162,100
I163,100
I164,100
I165,100
I166,100
I167,100
I168,100
I169,100
I170,100
I171,100
I172,100
I173,100
I174,100
I175,100
I176,100
I177,100
I178,100
I179,100
I180,100
I181,100
I182,100
I183,100
I184,100
I185,100
I186,100
I187,100
I188,100
I189,100
I190,100
I191,100
I192,100
I193,100
I194,100
I195,100
I196,100
I197,100
I198,100
I199,100
I200,100
I201,100
I202,100
I203,100
I204,100
I205,100
I206,100
I207,100
I208,100
I209,100
I210,100
I211,100
I212,100
I213,100
I214,100
I215,100
I216,100
I217,100
I218,100
I219,100
I220,100
I221,100
I222,100
I223,100
I224,100
I225,100
I226,100
I227,100
I228,100
I229,100
I230,100
I231,100
I232,100
I233,100
I234,100
I235,100
I236,100
I237,100
I238,100
I239,100
I240,100
J-1,100
J101,100
J102,100
J103,100
J104,100
J105,100
J106,100
J107,100
J108,100
J109,100
J110,100
J111,100
J112,100
J113,100
J114,100
J115,100
J116,100
J117,100
J118,100
J119,100
J120,100
J121,100
J122,100
J123,100
J124,100
J125,100
J126,100
J127,100
J128,100
J129,100
J130,100
J131,100
J132,100
J133,100
J134,100
J135,100
J136,100
J137,100
J138,100
J139,100
J140,100
J141,100
J142,100
J143,100
J144,100
J145,100
J146,100
J147,100
J148,100
J149,100
J150,100
J151,100
J152,100
J153,100
J154,100
J155,100
J156,100
J157,100
J158,100
J159,100
J160,100
J161,100
J162,100
J163,100
J164,100
J165,100
J166,100
J167,100
J168,100
J169,100
J170,100
J171,100
J172,100
J173,100
J174,100
J175,100
J176,100
J177,100
J178,100
J179,100
J180,100
J181,100
J182,100
J183,100
J184,100
J185,100
J186,100
J187,100
J188,100
J189,100
J190,100
J191,100
J192,100
J193,100
J194,100
J195,100
J196,100
J197,100
J198,100
J199,100
J200,100
J201,100
J202,100
J203,100
J204,100
J205,100
J206,100
J207,100
J208,100
J209,100
J210,100
J211,100
J212,100
J213,100
J214,100
J215,100
J216,100
J217,100
J218,100
J219,100
J220,100
J221,100
J222,100
J223,100
J224,100
J225,100
J226,100
J227,100
J228,100
J229,100
J230,100
J231,100
J232,100
J233,100
J234,100
J235,100
J236,100
J237,100
J238,100
J239,100
J240,100
K-1,100
K101,100
K102,100
K103,100
K104,100
K105,100
K106,100
K107,100
K108,100
K109,100
K110,100
K111,100
K112,100
K113,100
K114,100
K115,100
K116,100
K117,100
K118,100
K119,100
K120,100
K121,100
K122,100
K123,100
K124,100
K125,100
K126,100
K127,100
K128,100
K129,100
K130,100
K131,100
K132,100
K133,100
K134,100
K135,100
K136,100
K137,100
K138,100
K139,100
K140,100
K141,100
K142,100
K143,100
K144,100
K145,100
K146,100
K147,100
K148,100
K149,100
K150,100
K151,100
K152,100
K153,100
K154,100
K155,100
K156,100
K157,100
K158,100
K159,100
K160,100
K161,100
K162,100
K163,100
K164,100
K165,100
K166,100
K167,100
K168,100
K169,100
K170,100
K171,100
K172,100
K173,100
K174,100
K175,100
K176,100
K177,100
K178,100
K179,100
K180,100
K181,100
K182,100
K183,100
K184,100
K185,100
K186,100
K187,100
K188,100
K189,100
K190,100
K191,100
K192,100
K193,100
K194,100
K195,100
K196,100
K197,100
K198,100
K199,100
K200,100
Virtual,100000

